district_code,district_name,total_population,age_0_20_pct,age_21_40_pct,age_41_60_pct,age_61_75_pct,age_75_plus_pct
09172,"Berchtesgadener Land, Landkreis",105292.0,18.25,23.55,26.15,19.09,12.96
09173,"Bad Tölz-Wolfratshausen, Landkreis",130248.0,19.52,22.39,27.78,18.7,11.6
09174,"Dachau, Landkreis",153595.0,19.89,24.0,28.83,17.47,9.81
09175,"Ebersberg, Landkreis",144225.0,20.89,22.63,29.42,16.65,10.42
09176,"Eichstätt, Landkreis",135668.0,21.52,23.76,27.48,18.33,8.9
09177,"Erding, Landkreis",140127.0,19.97,24.31,29.33,17.73,8.66
09178,"Freising, Landkreis",184564.0,19.49,27.53,28.71,16.15,8.11
09179,"Fürstenfeldbruck, Landkreis",218227.0,19.89,22.58,28.17,17.18,12.18
09180,"Garmisch-Partenkirchen, Landkreis",89296.0,17.31,22.32,26.45,19.91,14.01
09181,"Landsberg am Lech, Landkreis",122107.0,19.76,21.88,28.17,19.48,10.7
09182,"Miesbach, Landkreis",97152.0,18.59,21.52,28.19,18.97,12.72
09183,"Mühldorf am Inn, Landkreis",122037.0,19.51,24.17,27.32,19.05,9.95
09184,"München, Landkreis",354396.0,20.14,23.36,28.7,15.89,11.9
09185,"Neuburg-Schrobenhausen, Landkreis",99364.0,20.54,23.38,27.49,19.0,9.58
09186,"Pfaffenhofen an der Ilm, Landkreis",130781.0,20.25,24.32,28.09,18.38,8.96
09187,"Rosenheim, Landkreis",258637.0,19.49,22.12,27.36,19.44,11.6
09188,"Starnberg, Landkreis",139329.0,19.79,19.83,28.6,18.45,13.33
09189,"Traunstein, Landkreis",175144.0,18.78,22.34,26.47,20.24,12.17
09190,"Weilheim-Schongau, Landkreis",138957.0,19.93,22.26,26.72,19.55,11.54
09261,"Landshut, kreisfreie Stadt",71863.0,18.54,27.4,26.88,16.7,10.48
09262,"Passau, kreisfreie Stadt",53039.0,16.0,31.13,23.78,17.62,11.47
09263,"Straubing, kreisfreie Stadt",49002.0,16.8,27.36,26.33,19.01,10.5
09271,"Deggendorf, Landkreis",121844.0,17.98,25.1,26.69,20.28,9.95
09272,"Freyung-Grafenau, Landkreis",78710.0,17.27,21.91,26.87,23.3,10.64
09273,"Kelheim, Landkreis",126037.0,20.12,23.8,27.87,19.01,9.21
09274,"Landshut, Landkreis",162170.0,20.23,22.93,28.33,19.26,9.25
09275,"Passau, Landkreis",194699.0,17.91,21.85,27.07,21.92,11.25
09276,"Regen, Landkreis",77267.0,17.78,22.03,26.63,22.66,10.89
09277,"Rottal-Inn, Landkreis",120497.0,18.86,22.91,26.6,20.84,10.79
09278,"Straubing-Bogen, Landkreis",103041.0,19.62,22.58,27.97,20.37,9.45
09279,"Dingolfing-Landau, Landkreis",101035.0,18.93,24.96,27.57,19.54,8.99
09361,"Amberg, kreisfreie Stadt",42553.0,17.35,24.83,25.72,20.27,11.83
09362,"Regensburg, kreisfreie Stadt",151389.0,16.42,35.43,24.84,14.7,8.61
09363,"Weiden in der Oberpfalz, kreisfreie Stadt",42444.0,17.16,25.63,25.83,19.55,11.83
09371,"Amberg-Sulzbach, Landkreis",103982.0,18.55,22.29,26.97,21.87,10.33
09372,"Cham, Landkreis",128534.0,18.04,22.97,26.9,21.68,10.41
09373,"Neumarkt in der Oberpfalz, Landkreis",138693.0,19.42,23.8,27.48,19.96,9.34
09374,"Neustadt an der Waldnaab, Landkreis",96049.0,18.66,22.37,27.07,21.77,10.13
09375,"Regensburg, Landkreis",196213.0,19.86,22.33,28.11,19.96,9.73
09376,"Schwandorf, Landkreis",149312.0,18.58,23.43,27.51,20.55,9.93
09377,"Tirschenreuth, Landkreis",72210.0,17.45,22.15,26.76,22.52,11.11
09461,"Bamberg, kreisfreie Stadt",77150.0,16.78,31.69,24.49,16.76,10.28
09462,"Bayreuth, kreisfreie Stadt",72940.0,15.72,31.53,23.39,17.82,11.54
09463,"Coburg, kreisfreie Stadt",41064.0,16.55,26.55,24.9,20.04,11.96
09464,"Hof, kreisfreie Stadt",46778.0,18.41,25.71,24.76,19.17,11.96
09471,"Bamberg, Landkreis",147777.0,19.43,22.1,28.07,21.08,9.31
09472,"Bayreuth, Landkreis",103215.0,18.14,20.69,27.84,22.07,11.25
09473,"Coburg, Landkreis",84468.0,17.8,20.9,27.33,22.35,11.62
09474,"Forchheim, Landkreis",116184.0,19.21,21.77,27.51,21.32,10.19
09475,"Hof, Landkreis",92191.0,16.92,20.11,26.9,23.18,12.89
09476,"Kronach, Landkreis",64545.0,15.85,20.41,27.96,23.55,12.22
09477,"Kulmbach, Landkreis",71518.0,16.63,21.24,27.35,22.72,12.06
09478,"Lichtenfels, Landkreis",67379.0,17.71,21.81,27.12,22.05,11.31
09479,"Wunsiedel im Fichtelgebirge, Landkreis",70549.0,17.01,20.49,26.13,23.02,13.36
09561,"Ansbach, kreisfreie Stadt",40742.0,18.92,24.85,25.89,19.42,10.91
09562,"Erlangen, kreisfreie Stadt",115928.0,17.79,33.25,24.12,15.15,9.69
09563,"Fürth, kreisfreie Stadt",132036.0,17.99,26.88,28.02,17.75,9.35
09564,"Nürnberg, kreisfreie Stadt",529508.0,17.94,28.63,26.67,16.31,10.46
09565,"Schwabach, kreisfreie Stadt",40835.0,19.15,22.35,27.52,19.14,11.84
09571,"Ansbach, Landkreis",187633.0,19.7,23.1,27.1,20.37,9.72
09572,"Erlangen-Höchstadt, Landkreis",138325.0,20.33,21.17,28.04,20.0,10.46
