district_code,district_name,total_population,available_beds,beds_per_1000
08327,"Tuttlingen, Landkreis",145208.0,1449.0,9.98
08335,"Konstanz, Landkreis",291841.0,3184.0,10.91
08336,"Lörrach, Landkreis",238263.0,1941.0,8.15
08337,"Waldshut, Landkreis",171579.0,1679.0,9.79
08415,"Reutlingen, Landkreis",293483.0,2395.0,8.16
08416,"Tübingen, Landkreis",233546.0,1717.0,7.35
08417,Zollernalbkreis,193326.0,1758.0,9.09
08421,"Ulm, kreisfreie Stadt",129882.0,1408.0,10.84
08425,Alb-Donau-Kreis,202354.0,1820.0,8.99
08426,"Biberach, Landkreis",207415.0,1813.0,8.74
08435,Bodenseekreis,220804.0,1733.0,7.85
08436,"Ravensburg, Landkreis",291102.0,2570.0,8.83
08437,"Sigmaringen, Landkreis",132167.0,1196.0,9.05
09161,"Ingolstadt, kreisfreie Stadt",141185.0,1145.0,8.11
09162,"München, kreisfreie Stadt",1505005.0,8233.0,5.47
09163,"Rosenheim, kreisfreie Stadt",65274.0,468.0,7.17
09171,"Altötting, Landkreis",113938.0,1655.0,14.53
09172,"Berchtesgadener Land, Landkreis",105292.0,1274.0,12.1
09173,"Bad Tölz-Wolfratshausen, Landkreis",130248.0,1211.0,9.3
09174,"Dachau, Landkreis",153595.0,1457.0,9.49
09175,"Ebersberg, Landkreis",144225.0,1250.0,8.67
09176,"Eichstätt, Landkreis",135668.0,1034.0,7.62
09177,"Erding, Landkreis",140127.0,1078.0,7.69
09178,"Freising, Landkreis",184564.0,1184.0,6.42
09179,"Fürstenfeldbruck, Landkreis",218227.0,1981.0,9.08
09180,"Garmisch-Partenkirchen, Landkreis",89296.0,790.0,8.85
09181,"Landsberg am Lech, Landkreis",122107.0,771.0,6.31
09182,"Miesbach, Landkreis",97152.0,858.0,8.83
09183,"Mühldorf am Inn, Landkreis",122037.0,1681.0,13.77
09184,"München, Landkreis",354396.0,3452.0,9.74
09185,"Neuburg-Schrobenhausen, Landkreis",99364.0,888.0,8.94
09186,"Pfaffenhofen an der Ilm, Landkreis",130781.0,1060.0,8.11
09187,"Rosenheim, Landkreis",258637.0,3640.0,14.07
09188,"Starnberg, Landkreis",139329.0,1434.0,10.29
09189,"Traunstein, Landkreis",175144.0,2004.0,11.44
09190,"Weilheim-Schongau, Landkreis",138957.0,1273.0,9.16
09261,"Landshut, kreisfreie Stadt",71863.0,1176.0,16.36
09262,"Passau, kreisfreie Stadt",53039.0,984.0,18.55
09263,"Straubing, kreisfreie Stadt",49002.0,728.0,14.86
09271,"Deggendorf, Landkreis",121844.0,1386.0,11.38
09272,"Freyung-Grafenau, Landkreis",78710.0,967.0,12.29
09273,"Kelheim, Landkreis",126037.0,1306.0,10.36
09274,"Landshut, Landkreis",162170.0,1397.0,8.61
09275,"Passau, Landkreis",194699.0,2284.0,11.73
09276,"Regen, Landkreis",77267.0,1019.0,13.19
09277,"Rottal-Inn, Landkreis",120497.0,1587.0,13.17
09278,"Straubing-Bogen, Landkreis",103041.0,635.0,6.16
09279,"Dingolfing-Landau, Landkreis",101035.0,1106.0,10.95
09361,"Amberg, kreisfreie Stadt",42553.0,831.0,19.53
09362,"Regensburg, kreisfreie Stadt",151389.0,1794.0,11.85
09363,"Weiden in der Oberpfalz, kreisfreie Stadt",42444.0,755.0,17.79
09371,"Amberg-Sulzbach, Landkreis",103982.0,1409.0,13.55
09372,"Cham, Landkreis",128534.0,1789.0,13.92
09373,"Neumarkt in der Oberpfalz, Landkreis",138693.0,1552.0,11.19
09374,"Neustadt an der Waldnaab, Landkreis",96049.0,1326.0,13.81
09375,"Regensburg, Landkreis",196213.0,2183.0,11.13
09376,"Schwandorf, Landkreis",149312.0,1825.0,12.22
09377,"Tirschenreuth, Landkreis",72210.0,1182.0,16.37
09461,"Bamberg, kreisfreie Stadt",77150.0,1032.0,13.38
09462,"Bayreuth, kreisfreie Stadt",72940.0,1408.0,19.3
09463,"Coburg, kreisfreie Stadt",41064.0,666.0,16.22
09464,"Hof, kreisfreie Stadt",46778.0,905.0,19.35
09471,"Bamberg, Landkreis",147777.0,1638.0,11.08
09472,"Bayreuth, Landkreis",103215.0,1511.0,14.64
