district_code,district_name,hospital_drive
09572,"Erlangen-Höchstadt, Landkreis",12.1998326133909
09573,"Fürth, Landkreis",15.9897735314933
09574,"Nürnberger Land, Landkreis",11.978170995671
09575,"Neustadt an der Aisch-Bad Windsheim, Landkreis",18.9102687358062
09576,"Roth, Landkreis",16.3902440976391
09577,"Weißenburg-Gunzenhausen, Landkreis",14.6892907801418
09661,"Aschaffenburg, kreisfreie Stadt",9.96239904988123
09662,"Schweinfurt, kreisfreie Stadt",4.98194244604317
09663,"Würzburg, kreisfreie Stadt",9.67009162303665
09671,"Aschaffenburg, Landkreis",16.2484949092519
09672,"Bad Kissingen, Landkreis",20.3837285780454
09673,"Rhön-Grabfeld, Landkreis",18.2121553610503
09674,"Haßberge, Landkreis",11.9445704467354
09675,"Kitzingen, Landkreis",14.2523636363636
09676,"Miltenberg, Landkreis",16.120769650655
09677,"Main-Spessart, Landkreis",19.1774638297872
09678,"Schweinfurt, Landkreis",11.773024
09679,"Würzburg, Landkreis",16.6021405750799
09761,"Augsburg, kreisfreie Stadt",6.60953947368421
09762,"Kaufbeuren, kreisfreie Stadt",5.89043333333333
09763,"Kempten (Allgäu), kreisfreie Stadt",24.951734006734
09764,"Memmingen, kreisfreie Stadt",6.24371559633027
09771,"Aichach-Friedberg, Landkreis",12.4542478941035
09772,"Augsburg, Landkreis",13.3086484998624
09773,"Dillingen an der Donau, Landkreis",12.381490837048
09774,"Günzburg, Landkreis",12.6351424979044
09775,"Neu-Ulm, Landkreis",9.37508229426434
09776,"Lindau (Bodensee), Landkreis",12.2359292035398
09777,"Ostallgäu, Landkreis",15.4046729435084
09778,"Unterallgäu, Landkreis",13.9156414219475
09779,"Donau-Ries, Landkreis",16.2080650626906
09780,"Oberallgäu, Landkreis",20.0519744859101
10041,"Regionalverband Saarbrücken, Landkreis",9.54323753462604
10042,"Merzig-Wadern, Landkreis",12.5158377595365
10043,"Neunkirchen, Landkreis",10.0786601705238
10044,"Saarlouis, Landkreis",9.97955135773318
10045,Saarpfalz-Kreis,12.8725252016129
10046,"Sankt Wendel, Landkreis",13.7979192030991
11000,"Berlin, kreisfreie Stadt",6.75815430520034
12051,"Brandenburg an der Havel, kreisfreie Stadt",10.2852918781726
12052,"Cottbus, kreisfreie Stadt",10.3262038073908
12053,"Frankfurt (Oder), kreisfreie Stadt",10.5341207815275
12054,"Potsdam, kreisfreie Stadt",9.24625
12060,"Barnim, Landkreis",15.2089708310402
12061,"Dahme-Spreewald, Landkreis",14.73984375
12062,"Elbe-Elster, Landkreis",16.2816089385475
12063,"Havelland, Landkreis",15.7874635741897
12064,"Märkisch-Oderland, Landkreis",16.1718064516129
12065,"Oberhavel, Landkreis",21.8271428571429
12066,"Oberspreewald-Lausitz, Landkreis",17.3459827779858
12067,"Oder-Spree, Landkreis",17.042332543614
12068,"Ostprignitz-Ruppin, Landkreis",19.04754987356
12069,"Potsdam-Mittelmark, Landkreis",16.2024296919839
12070,"Prignitz, Landkreis",17.5111752265861
12071,"Spree-Neiße, Landkreis",21.2306935445164
12072,"Teltow-Fläming, Landkreis",19.0454511478911
12073,"Uckermark, Landkreis",18.429506558401
13003,"Rostock, kreisfreie Stadt",11.8306256517205
13004,"Schwerin, kreisfreie Stadt",11.7699831081081
13071,"Mecklenburgische Seenplatte, Landkreis",20.7435174152154
13072,"Rostock, Landkreis",17.9881973701009
13073,"Vorpommern-Rügen, Landkreis",20.0231646710442
13074,"Nordwestmecklenburg, Landkreis",19.0239843604543
13075,"Vorpommern-Greifswald, Landkreis",19.2920821035686
13076,"Ludwigslust-Parchim, Landkreis",17.7787328280436
14511,"Chemnitz, kreisfreie Stadt",9.90985884907709
14521,Erzgebirgskreis,13.314732564237
14522,"Mittelsachsen, Landkreis",14.2683358596795
14523,Vogtlandkreis,13.0044847890088
14524,"Zwickau, Landkreis",10.7242846675215
14612,"Dresden, kreisfreie Stadt",10.3617890772128
14625,"Bautzen, Landkreis",14.7090740028216
14626,"Görlitz, Landkreis",14.0193495254048
14627,"Meißen, Landkreis",22.0645379413974
14628,"Sächsische Schweiz-Osterzgebirge, Landkreis",15.6498070846499
14713,"Leipzig, kreisfreie Stadt",9.35172887172887
14729,"Leipzig, Landkreis",12.9811448300927
14730,"Nordsachsen, Landkreis",11.9437418677859
15001,"Dessau-Roßlau, kreisfreie Stadt",9.00832926829268
15002,"Halle (Saale), kreisfreie Stadt",6.07374551971326
15003,"Magdeburg, kreisfreie Stadt",8.38172131147541
15081,Altmarkkreis Salzwedel,19.050044039006
15082,"Anhalt-Bitterfeld, Landkreis",13.3168187660668
15083,"Börde, Landkreis",16.6752827729997
15084,Burgenlandkreis,14.2206736526946
15085,"Harz, Landkreis",16.0345988730883
15086,"Jerichower Land, Landkreis",18.0131196054254
15087,"Mansfeld-Südharz, Landkreis",14.2523298692591
15088,Saalekreis,14.3964091635589
15089,Salzlandkreis,16.6699060606061
15090,"Stendal, Landkreis",17.1212101210121
15091,"Wittenberg, Landkreis",20.3048483161703
16051,"Erfurt, kreisfreie Stadt",9.19026877470356
16052,"Gera, kreisfreie Stadt",11.4030857142857
16053,"Jena, kreisfreie Stadt",12.0944920634921
16054,"Suhl, kreisfreie Stadt",10.0458786610879
16055,"Weimar, kreisfreie Stadt",20.4323404255319
16061,"Eichsfeld, Landkreis",12.2918181818182
16062,"Nordhausen, Landkreis",12.7873927178153
16063,Wartburgkreis,15.9160190664037
16064,Unstrut-Hainich-Kreis,12.6065059486537
16065,Kyffhäuserkreis,15.7014648065948
16066,"Schmalkalden-Meiningen, Landkreis",15.2043655650755
16067,"Gotha, Landkreis",12.1049417131272
16068,"Sömmerda, Landkreis",15.4481053525913
16069,"Hildburghausen, Landkreis",16.9194885679904
16070,Ilm-Kreis,12.4575114678899
16071,"Weimarer Land, Landkreis",13.6062086956522
16072,"Sonneberg, Landkreis",12.0617512877116
16073,"Saalfeld-Rudolstadt, Landkreis",17.8027322868053
16074,Saale-Holzland-Kreis,13.75980664353
16075,Saale-Orla-Kreis,21.5402908643998
16076,"Greiz, Landkreis",20.255011900714
16077,"Altenburger Land, Landkreis",13.8139666520404
